"","ymd","ym","year","code","addr_1","aptNm","jusoJibun","price","conYear","area","floor","py","cnt"
"4469",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공7","서울특별시 노원구 상계동 691 상계주공7",64000,1988,50,5,4224,1
"4470",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",55000,1988,50,4,3630,1
"4471",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공9","서울특별시 노원구 상계동 670 상계주공9",43500,1988,41,10,3501,1
"4472",2021-01-05,2021-01-01,"2021","11350","서울_노원","상계주공2","서울특별시 노원구 상계동 740 상계주공2",86000,1987,84,3,3379,1
"4473",2021-01-06,2021-01-01,"2021","11350","서울_노원","은빛2단지","서울특별시 노원구 상계동 1256 은빛2단지",53700,1998,60,2,2954,1
"4474",2021-01-06,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",48000,1987,32,15,4950,1
"4475",2021-01-06,2021-01-01,"2021","11350","서울_노원","상계주공4","서울특별시 노원구 상계동 749-5 상계주공4",52800,1988,41,2,4250,1
"4476",2021-01-06,2021-01-01,"2021","11350","서울_노원","상계주공11","서울특별시 노원구 상계동 652 상계주공11",51250,1988,41,2,4125,1
"4477",2021-01-06,2021-01-01,"2021","11350","서울_노원","상계주공16","서울특별시 노원구 상계동 624 상계주공16",58300,1988,59,8,3261,1
"4478",2021-01-06,2021-01-01,"2021","11350","서울_노원","상계주공13","서울특별시 노원구 상계동 637 상계주공13",49800,1989,50,8,3287,1
"4479",2021-01-06,2021-01-01,"2021","11350","서울_노원","보람2단지","서울특별시 노원구 상계동 639 보람2단지",70700,1988,69,9,3381,1
"4480",2021-01-06,2021-01-01,"2021","11350","서울_노원","극동늘푸른","서울특별시 노원구 상계동 1128 극동늘푸른",52800,2000,60,7,2904,1
"4481",2021-01-06,2021-01-01,"2021","11350","서울_노원","코지한주","서울특별시 노원구 상계동 109-5 코지한주",65000,2006,102,5,2103,1
"4482",2021-01-06,2021-01-01,"2021","11350","서울_노원","상계신동아","서울특별시 노원구 상계동 463 상계신동아",44600,1995,59,7,2495,1
"4483",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공3","서울특별시 노원구 상계동 730-2 상계주공3",96500,1987,84,1,3791,1
"4484",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계주공2","서울특별시 노원구 상계동 740 상계주공2",68000,1987,60,5,3740,1
"4485",2021-01-07,2021-01-01,"2021","11350","서울_노원","양우","서울특별시 노원구 상계동 1299 양우",72800,2002,79,4,3041,1
"4486",2021-01-07,2021-01-01,"2021","11350","서울_노원","상계1차현대아파트","서울특별시 노원구 상계동 1055 상계1차현대아파트",63000,1993,84,13,2475,1
"4487",2021-01-07,2021-01-01,"2021","11350","서울_노원","두산","서울특별시 노원구 상계동 1110 두산",49000,1994,52,6,3110,1
"4488",2021-01-07,2021-01-01,"2021","11350","서울_노원","한신2차","서울특별시 노원구 상계동 451 한신2차",34500,1988,46,6,2475,1
